"No_ciclo","Nombre_Curso"
1302,"MATEMATICA DISCRETA I (11001)"
1302,"PEDAGOGIA IGNACIANA DE LA REALIZACION PERSONAL (CFI)"
1303,"PROGRAMACION AVANZADA (11001)"
1402,"ALGEBRA LINEAL (11001)"
1402,"ALGEBRA LINEAL (11001)"
1403,"MATEMATICA DISCRETA II (11001)"
1403,"PROBABILIDAD Y ESTADISTICA (11001)"
1403,"PROBABILIDAD Y ESTADISTICA (11001)"
1502,"TEORIA DE SISTEMAS (11001)"
1601,"INGENIERIA DE COSTOS (11001)"
1601,"INGENIERIA DE COSTOS (11001)"
1603,"INVESTIGACION DE OPERACIONES I (11001)"
1703,"INGENIERIA ECONOMICA (11001)"
1803,"INGENIERIA ECONOMICA (11001)"
1803,"INGENIERIA ECONOMICA (11001)"
1803,"REDES I (11001)"
1803,"SISTEMAS DE GESTION (11001)"
